Rank,Card Name,Set,Max Price (USD),Avg Price (USD),Min Price (USD),Listings,1Mo Trend %,6Mo Trend %,12Mo Trend %,Sold Count
1,"1999 Booster Box","Unknown Set",23000,23000,23000,1,0,0,0,0
2,"CHARIZARD 1999 THICK","Unknown Set",21999.99,21999.99,21999.99,1,0,0,0,0
3,"Mega Charizard Box","Unknown Set",15000,15000,15000,1,0,0,0,0
4,"Evolving Skies Booster Box Case","SWSH07: Evolving Skies",12131.66,12131.66,12131.66,1,0,0,0,0
5,"BLASTOISE 1999 THICK","Unknown Set",9999.99,9999.99,9999.99,1,0,0,0,0
6,"XY Evolutions Booster Box Case","XY - Evolutions",9912.5,9912.5,9912.5,1,0,0,0,0
7,"Team Up Booster Box","SM - Team Up",8498.96,8498.96,8498.96,1,0,0,0,0
8,"Flashfire Booster Box","XY - Flashfire",8399.99,8399.99,8399.99,1,0,0,0,0
9,"Prismatic Evolution Booster Bundle Display Case","SV: Prismatic Evolutions",7000,7000,7000,1,0,0,0,0
10,"Paldean Fates Booster Bundle Display Case","SV: Paldean Fates",6895.07,6895.07,6895.07,1,0,0,0,0
11,"151 Booster Bundle Display Case","SV: Scarlet & Violet 151",6865.7,6865.7,6865.7,1,0,0,0,0
12,"PROMO PIKACHU Stamp","Base Set",6000,6000,6000,1,0,0,0,0
13,"Southern Islands Collection","Southern Islands",4999.99,4999.99,4999.99,1,0,0,0,0
14,"TAG TEAM Tin Case","SM - Team Up",4999.95,4999.95,4999.95,1,0,0,0,0
15,"Burning Shadows Booster Box Case","SM - Burning Shadows",4999,4999,4999,1,0,0,0,0
16,"Plasma Freeze Booster Box","Plasma Freeze",4800,4800,4800,1,0,0,0,0
17,"Japanese 2005 FAN","Unknown Set",4799.99,4799.99,4799.99,1,0,0,0,0
18,"Fusion Strike Booster Box Case","SWSH08: Fusion Strike",4560.21,4560.21,4560.21,1,0,0,0,0
19,"Pristine Charizard 20th","Unknown Set",4474.99,4474.99,4474.99,1,0,0,0,0
20,"1999 Game Squirtle","Unknown Set",4350,4350,4350,1,0,0,0,0
21,"XY Booster Box","XY Base Set",4200,4200,4200,1,0,0,0,0
22,"Team Up Prerelease Kit Display","SM - Team Up",4000,4000,4000,1,0,0,0,0
23,"Sword & Shield Booster Box Case","SWSH01: Sword & Shield Base Set",3999.99,3999.99,3999.99,1,0,0,0,0
24,"POKÉMON JUNGLE SET","Jungle",3999.99,3999.99,3999.99,1,0,0,0,0
25,"1996 JAPANESE BASE","Base Set",3999.98,3999.98,3999.98,1,0,0,0,0
26,"Pokemon Base Set (Shadowless) [1st Edition] Booster Pack","Base Set (Shadowless)",3999.95,3999.95,3999.95,1,0,0,0,0
27,"1999 Base Set","Base Set",3999.89,285.8,1.5,19,0,0,0,0
28,"Evolving Skies Elite Trainer Box Case","SWSH07: Evolving Skies",3888.99,3888.99,3888.99,1,0,0,0,0
29,"151 Elite Trainer Box Case","SV: Scarlet & Violet 151",3596.47,3596.47,3596.47,1,0,0,0,0
30,"Base Set Venusaur","Base Set",3584,1816.98,49.95,2,0,0,0,0
31,"Promo 090/S-P Lillie","Unknown Set",3049.99,3049.99,3049.99,1,0,0,0,0
32,"GEM MINT 2007","Unknown Set",2999.99,2999.99,2999.99,1,0,0,0,0
33,"Celebrations Ultra-Premium Collection Case","Celebrations",2819.33,2819.33,2819.33,1,0,0,0,0
34,"Brilliant Stars Booster Box Case","SWSH09: Brilliant Stars",2706.9,2706.9,2706.9,1,0,0,0,0
35,"Pokemon 2-Player Starter Set","Base Set (Shadowless)",2600,2600,2600,1,0,0,0,0
36,"Evolving Skies Booster Box","SWSH07: Evolving Skies",2590.66,2590.66,2590.66,1,0,0,0,0
37,"Legendary Collection Booster Pack","Legendary Collection",2499.98,2499.98,2499.98,1,0,0,0,0
38,"Lugia","Aquapolis",2499.98,1400,500,5,0,0,0,0
39,"Silver Tempest Booster Box Case","SWSH12: Silver Tempest",2488.55,2488.55,2488.55,1,0,0,0,0
40,"Fusion Strike Sleeved Booster Case","SWSH08: Fusion Strike",2416.09,2416.09,2416.09,1,0,0,0,0
41,"RAICHU Base Set","Base Set",2400,2400,2400,1,0,0,0,0
42,"Crown Zenith Booster Bundle Case","Crown Zenith",2022.85,2022.85,2022.85,1,0,0,0,0
43,"Crown Zenith Elite Trainer Box Case","Crown Zenith",2012.36,2012.36,2012.36,1,0,0,0,0
44,"Vivid Voltage Secret","Unknown Set",2000,1177.5,355,2,0,0,0,0
45,"Charizard Rare Hanafuda","Unknown Set",1999.99,1999.99,1999.99,1,0,0,0,0
46,"Lugia","Neo Genesis",1999.95,652.28,120.96,10,0,0,0,0
47,"Umbreon (13)","Neo Discovery",1799.99,465.56,138.05,7,0,0,0,0
48,"Skyridge Booster Pack","Skyridge",1799.99,1650,1500,2,0,0,0,0
49,"Celebrations Elite Trainer Box Case","Celebrations",1776.31,1776.31,1776.31,1,0,0,0,0
50,"Gem Mint 10!","Base Set",1750,1750,1750,1,0,0,0,0
51,"Evolving Skies Build & Battle Box Display","SWSH07: Evolving Skies",1748.63,1748.63,1748.63,1,0,0,0,0
52,"GEM MINT 2010","Unknown Set",1699.99,1699.99,1699.99,1,0,0,0,0
53,"Celebrations Pokemon Center Elite Trainer Box Case (Exclusive)","Celebrations",1651.61,1651.61,1651.61,1,0,0,0,0
54,"Fusion Strike Pokemon Center Elite Trainer Box Case (Exclusive)","SWSH08: Fusion Strike",1600,1600,1600,1,0,0,0,0
55,"Fusion Strike Elite Trainer Box Case","SWSH08: Fusion Strike",1595.58,1595.58,1595.58,1,0,0,0,0
56,"Brilliant Stars Sleeved Booster Pack Case","SWSH09: Brilliant Stars",1555.96,1555.96,1555.96,1,0,0,0,0
57,"Neo Destiny Booster Pack [1st Edition]","Neo Destiny",1500,1500,1500,1,0,0,0,0
58,"Gengar (H9)","Skyridge",1499.99,812.81,451.24,4,0,0,0,0
59,"Evolving Skies Pokemon Center Elite Trainer Box [Set of 2] (Exclusive)","SWSH07: Evolving Skies",1496.84,1496.84,1496.84,1,0,0,0,0
60,"1997 Pokémon Japanese","Jungle",1400,1400,1400,1,0,0,0,0
61,"Japanese Complete Southern","Unknown Set",1400,1400,1400,1,0,0,0,0
62,"Silver Tempest Booster Bundle Case","SWSH12: Silver Tempest",1398.43,1398.43,1398.43,1,0,0,0,0
63,"Crown Zenith Pokemon Center Elite Trainer Box Plus Case","Crown Zenith",1386.66,1386.66,1386.66,1,0,0,0,0
64,"Pokemon Base Set (Shadowless) [Unlimited Edition] Booster Pack","Base Set (Shadowless)",1300,1300,1300,1,0,0,0,0
65,"Charizard","Base Set (Shadowless)",1299,663.96,225,5,0,0,0,0
66,"2020 2021 swsh","Unknown Set",1283.88,1283.88,1283.88,1,0,0,0,0
67,"French Florizarre "Venasaur"","Unknown Set",1249.95,1249.95,1249.95,1,0,0,0,0
68,"Gyarados (H10)","Skyridge",1200,539.25,209,4,0,0,0,0
69,"Charizard","Skyridge",1199,1199,1199,1,0,0,0,0
70,"Amazing Rare Vivid","Unknown Set",1199,1199,1199,1,0,0,0,0
71,"Silver Tempest Sleeved Booster Pack Case","SWSH12: Silver Tempest",1172.99,1172.99,1172.99,1,0,0,0,0
72,"Crown Zenith Mini Tin Display Case","Crown Zenith",1099.99,1099.99,1099.99,1,0,0,0,0
73,"Aquapolis Booster Pack","Aquapolis",1050.99,1050.99,1050.99,1,0,0,0,0
74,"Fusion Strike Booster Box","SWSH08: Fusion Strike",1032.07,1032.07,1032.07,1,0,0,0,0
75,"GEM MINT Machamp","Unknown Set",1000,1000,1000,1,0,0,0,0
76,"Shiny Charizard 077/070","Unknown Set",1000,1000,1000,1,0,0,0,0
77,"2010 Palkia LGDRY","Unknown Set",999.99,999.99,999.99,1,0,0,0,0
78,"2020 S-Chinese Magikarp","Unknown Set",999.95,999.95,999.95,1,0,0,0,0
79,"Nidoking (150)","Aquapolis",999,476.78,250,5,0,0,0,0
80,"2000 PIKACHU World","Unknown Set",995,995,995,1,0,0,0,0
