Name,Set,Rarity,RarityWeight,MarketPrice,CurrentPrice,ListingCount,ProductURL,ImageURL
"SV: Scarlet & Violet 151","SV: Scarlet & Violet 151","",null,"6067.33","9825","8","https://www.tcgplayer.com/product/513409/pokemon-sv-scarlet-and-violet-151-151-booster-bundle-display-case?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Scarlet & Violet 151","SV: Scarlet & Violet 151","",null,"3482.69","4774","4","https://www.tcgplayer.com/product/506640/pokemon-sv-scarlet-and-violet-151-151-elite-trainer-box-case?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV02: Paldea Evolved","Paldea Evolved","",null,"2548.51","2950","8","https://www.tcgplayer.com/product/496905/pokemon-sv02-paldea-evolved-paldea-evolved-booster-box-case?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Scarlet & Violet 151","SV: Scarlet & Violet 151","",null,"2290.42","3925","13","https://www.tcgplayer.com/product/528030/pokemon-sv-scarlet-and-violet-151-151-pokemon-center-elite-trainer-box-exclusive-case?page=1","https://tcgplayer-cdn.tcgplayer.com/product/528030_in_200x200.jpg"
"SV: Scarlet & Violet 151","SV: Scarlet & Violet 151","",null,"2245.99","2099.99","6","https://www.tcgplayer.com/product/530105/pokemon-sv-scarlet-and-violet-151-151-booster-bundle-bulk-case?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV02: Paldea Evolved","Paldea Evolved","",null,"2142","3850","3","https://www.tcgplayer.com/product/537410/pokemon-sv02-paldea-evolved-paldea-evolved-pokemon-center-elite-trainer-box-exclusive-case?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian Flames","Obsidian Flames","",null,"2015.71","4895","4","https://www.tcgplayer.com/product/618341/pokemon-sv03-obsidian-flames-obsidian-flames-pokemon-center-elite-trainer-box-case-exclusive?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV06: Twilight Masquerade","Twilight Masquerade","",null,"1768.98","2099.95","9","https://www.tcgplayer.com/product/544384/pokemon-sv06-twilight-masquerade-twilight-masquerade-booster-box-case?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Scarlet & Violet 151","SV: Scarlet & Violet 151","",null,"1534.08","2898","7","https://www.tcgplayer.com/product/515970/pokemon-sv-scarlet-and-violet-151-151-ultra-premium-collection-case?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV03: Obsidian Flames","Obsidian Flames","",null,"1531.59","1749.99","9","https://www.tcgplayer.com/product/501258/pokemon-sv03-obsidian-flames-obsidian-flames-booster-box-case?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV05: Temporal Forces","Temporal Forces","",null,"1477.92","1975.01","5","https://www.tcgplayer.com/product/537417/pokemon-sv05-temporal-forces-temporal-forces-booster-box-case?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV04: Paradox Rift","Paradox Rift","",null,"1370.53","1649.95","13","https://www.tcgplayer.com/product/512828/pokemon-sv04-paradox-rift-paradox-rift-booster-box-case?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV07: Stellar Crown","Stellar Crown","",null,"1352.23","1850","3","https://www.tcgplayer.com/product/557365/pokemon-sv07-stellar-crown-stellar-crown-booster-box-case?page=1","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"SV: Scarlet & Violet 151","SV: Scarlet & Violet 151","",null,"1283.98","1350","22","https://www.tcgplayer.com/product/513405/pokemon-sv-scarlet-and-violet-151-151-booster-bundle-display?page=1","https://tcgplayer-cdn.tcgplayer.com/product/513405_in_200x200.jpg"
